contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSTR250919C00200000,2025-09-12 19:59:15+00:00,200.0,131.77,130.55,133.55,6.040001,4.8039455,755.0,403,2.0029346801757812,True,REGULAR,USD
MSTR250919C00205000,2025-08-19 19:55:00+00:00,205.0,135.82,124.9,128.65,0.0,0.0,4.0,27,1.75000125,True,REGULAR,USD
MSTR250919C00210000,2025-09-11 19:53:46+00:00,210.0,118.56,120.35,123.25,0.0,0.0,1.0,335,1.6884781201171877,True,REGULAR,USD
MSTR250919C00215000,2025-09-02 15:45:05+00:00,215.0,130.74,114.85,118.65,0.0,0.0,1.0,36,1.5761739941406248,True,REGULAR,USD
MSTR250919C00220000,2025-09-12 13:49:32+00:00,220.0,111.1,110.2,113.25,-3.2000046,-2.799654,15.0,346,1.484377578125,True,REGULAR,USD
MSTR250919C00225000,2025-09-04 17:16:37+00:00,225.0,102.1,104.9,108.7,0.0,0.0,1.0,34,1.4609401953124999,True,REGULAR,USD
MSTR250919C00230000,2025-09-12 18:32:28+00:00,230.0,104.29,100.1,103.75,7.760002,8.038954,1.0,401,1.4541042919921874,True,REGULAR,USD
MSTR250919C00235000,2025-09-11 13:40:53+00:00,235.0,92.98,94.9,98.75,0.0,0.0,2.0,32,1.3300814746093748,True,REGULAR,USD
MSTR250919C00240000,2025-09-12 19:28:30+00:00,240.0,90.65,90.35,93.75,3.1500015,3.6000018,6.0,309,1.3584016455078123,True,REGULAR,USD
MSTR250919C00245000,2025-09-12 19:44:00+00:00,245.0,85.88,85.05,88.85,2.8799973,3.4698763,1.0,107,1.2446326831054684,True,REGULAR,USD
MSTR250919C00250000,2025-09-12 19:44:00+00:00,250.0,80.93,80.9,83.75,5.1299973,6.7678065,17.0,937,1.2978550732421872,True,REGULAR,USD
MSTR250919C00255000,2025-08-20 14:17:36+00:00,255.0,77.23,75.15,78.9,-1.859993,-2.3517425,1.0,124,1.1298871630859377,True,REGULAR,USD
MSTR250919C00260000,2025-09-12 19:48:05+00:00,260.0,70.25,71.05,73.0,1.8300018,2.6746593,31.0,352,1.05859845703125,True,REGULAR,USD
MSTR250919C00265000,2025-09-12 18:19:18+00:00,265.0,67.53,65.65,69.1,6.16,10.0374775,1.0,118,1.083988955078125,True,REGULAR,USD
MSTR250919C00270000,2025-09-11 19:55:35+00:00,270.0,60.0,60.65,64.2,2.7999992,4.8951035,1.0,382,1.0210009887695315,True,REGULAR,USD
MSTR250919C00275000,2025-09-09 14:59:07+00:00,275.0,52.3,55.55,58.5,0.0,0.0,4.0,214,0.850587431640625,True,REGULAR,USD
MSTR250919C00280000,2025-09-12 19:43:06+00:00,280.0,51.01,51.75,53.0,3.8199997,8.094935,67.0,783,0.8632826171875,True,REGULAR,USD
MSTR250919C00285000,2025-09-11 18:53:23+00:00,285.0,48.06,46.45,48.8,7.260002,17.794123,7.0,176,0.8359391406249999,True,REGULAR,USD
MSTR250919C00290000,2025-09-12 17:39:30+00:00,290.0,42.99,41.05,44.5,5.670002,15.192932,5.0,285,0.7841818457031251,True,REGULAR,USD
MSTR250919C00295000,2025-09-12 19:09:59+00:00,295.0,37.38,37.0,39.55,4.130001,12.421056,4.0,106,0.7739280419921876,True,REGULAR,USD
MSTR250919C00300000,2025-09-12 19:53:46+00:00,300.0,32.74,32.55,33.9,3.8900013,13.48354,102.0,1524,0.6865265722656251,True,REGULAR,USD
MSTR250919C00302500,2025-09-11 19:47:09+00:00,302.5,29.94,30.3,31.5,3.6200008,13.753803,1.0,31,0.665286550292969,True,REGULAR,USD
MSTR250919C00305000,2025-09-12 19:36:35+00:00,305.0,27.85,27.75,29.65,4.130001,17.411472,35.0,233,0.6543003320312502,True,REGULAR,USD
MSTR250919C00307500,2025-09-12 19:26:03+00:00,307.5,25.69,25.5,27.25,5.040001,24.406784,13.0,29,0.6278113391113282,True,REGULAR,USD
MSTR250919C00310000,2025-09-12 19:55:02+00:00,310.0,23.0,23.8,24.9,2.8500004,14.143923,126.0,406,0.6256140954589844,True,REGULAR,USD
MSTR250919C00312500,2025-09-12 19:25:10+00:00,312.5,21.21,21.35,22.9,3.0599995,16.8595,4.0,84,0.601810622558594,True,REGULAR,USD
MSTR250919C00315000,2025-09-12 19:48:32+00:00,315.0,19.15,19.65,20.9,2.5,15.015015,147.0,368,0.6035195898437502,True,REGULAR,USD
MSTR250919C00317500,2025-09-12 18:36:32+00:00,317.5,20.27,17.6,18.55,6.09,42.947815,93.0,53,0.5742230078125,True,REGULAR,USD
MSTR250919C00320000,2025-09-12 19:51:43+00:00,320.0,16.4,15.85,16.5,3.4499998,26.640924,3372.0,3513,0.5622602368164062,True,REGULAR,USD
MSTR250919C00322500,2025-09-12 19:58:44+00:00,322.5,14.1,13.9,15.1,3.0,27.027025,210.0,199,0.5596967858886719,True,REGULAR,USD
MSTR250919C00325000,2025-09-12 19:59:11+00:00,325.0,12.9,12.5,13.1,2.75,27.093597,669.0,1909,0.5495650512695314,True,REGULAR,USD
MSTR250919C00327500,2025-09-12 19:58:02+00:00,327.5,11.1,11.05,11.5,2.3900003,27.439728,647.0,523,0.5443160803222657,True,REGULAR,USD
