horizon_trading_days,edge_z_risk_adjusted,prob_up,expected_log_return,ci_low_log,ci_high_log,profit_pln_on_1m_pln,profit_ci_low_pln,profit_ci_high_pln,signal
1,0.7014740138407831,0.7501222930580009,0.0013973781193299829,-0.002831317791172891,0.005626074029832857,1398.3549070617496,-2827.313391090214,5641.930106200733,BUY
3,0.9806214590169215,0.8245074517557283,0.004192134357989949,-0.0031321818087597627,0.011516450524739659,4200.933644861849,-3127.2816447215355,11583.0201442213,BUY
7,1.329036020642799,0.892632636162835,0.00978164683530988,-0.0014064309139965713,0.02096972458461633,9829.643510575803,-1405.4423535403425,21191.134183738082,BUY
21,2.067590739697898,0.966562267513267,0.02934494050592964,0.009966621405100014,0.04872325960675926,29779.74596511146,10016.453591469965,49929.752559156885,BUY
63,3.3468050372710887,0.9960519448723218,0.08803482151778892,0.054470588269869565,0.12159905476570829,92026.14737406022,55981.41771650145,129301.22305313897,BUY
126,4.60048597590658,0.999446716770678,0.17606964303557784,0.12860264916571634,0.22353663690543935,192521.10654863276,137238.15184747367,250491.4535743683,BUY
252,6.373458562213523,0.9999500906049781,0.3521392860711557,0.285010819575317,0.4192677525669944,422106.5895639755,329776.41565972404,520847.51110429474,BUY
