Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,291.56,293.81,283.4,286.6,8461300
2019-09-20 04:00:00+00:00,280.26,282.5,266.0,270.75,23832800
2019-09-23 04:00:00+00:00,268.35,273.39,261.89,265.92,13478600
2019-09-24 04:00:00+00:00,262.5,265.0,252.28,254.59,16338200
2019-09-25 04:00:00+00:00,255.71,266.6,253.7,264.75,11643800
2019-09-26 04:00:00+00:00,266.42,268.05,260.2,263.31,7684000
2019-09-27 04:00:00+00:00,266.18,267.44,260.39,263.08,7328300
2019-09-30 04:00:00+00:00,264.0,268.88,262.78,267.62,6727200
2019-10-01 04:00:00+00:00,267.35,272.2,264.03,269.58,8650300
2019-10-02 04:00:00+00:00,263.61,269.35,262.19,268.03,7659100
2019-10-03 04:00:00+00:00,267.78,268.84,257.01,268.15,8951000
2019-10-04 04:00:00+00:00,268.2,275.48,266.47,272.79,9890400
2019-10-07 04:00:00+00:00,271.99,276.68,271.28,274.46,6525600
2019-10-08 04:00:00+00:00,273.03,275.53,270.64,270.72,6276400
2019-10-09 04:00:00+00:00,270.02,271.0,264.57,267.53,6794400
2019-10-10 04:00:00+00:00,265.97,280.53,265.03,280.48,10809100
2019-10-11 04:00:00+00:00,284.8,287.87,282.34,282.93,8786100
2019-10-14 04:00:00+00:00,283.93,286.93,282.0,285.53,5513200
2019-10-15 04:00:00+00:00,283.82,285.87,279.4,284.25,7685600
2019-10-16 04:00:00+00:00,283.12,288.17,280.74,286.28,16175900
2019-10-17 04:00:00+00:00,304.49,308.75,288.3,293.35,38258900
2019-10-18 04:00:00+00:00,289.36,290.9,273.36,275.3,23429900
2019-10-21 04:00:00+00:00,272.89,279.94,269.0,278.05,12599200
2019-10-22 04:00:00+00:00,271.16,275.41,265.8,266.69,11802400
2019-10-23 04:00:00+00:00,268.06,273.92,266.63,271.27,7133500
2019-10-24 04:00:00+00:00,271.81,274.02,268.8,271.5,4827400
2019-10-25 04:00:00+00:00,270.68,277.77,270.18,276.82,4747800
2019-10-28 04:00:00+00:00,278.05,285.75,277.35,281.86,6248400
2019-10-29 04:00:00+00:00,281.87,284.41,277.55,281.21,4356200
2019-10-30 04:00:00+00:00,284.34,293.49,283.0,291.45,9345600
2019-10-31 04:00:00+00:00,291.0,291.45,284.78,287.41,5090000
2019-11-01 04:00:00+00:00,288.7,289.12,283.02,286.81,5594300
2019-11-04 05:00:00+00:00,288.0,295.39,287.16,292.86,5566200
2019-11-05 05:00:00+00:00,289.99,291.19,286.31,288.03,4062400
2019-11-06 05:00:00+00:00,288.19,290.56,285.84,288.59,3438300
2019-11-07 05:00:00+00:00,290.7,298.19,288.27,289.57,5928500
2019-11-08 05:00:00+00:00,288.73,293.99,287.51,291.57,4509000
2019-11-11 05:00:00+00:00,289.16,296.36,288.5,294.18,3944300
2019-11-12 05:00:00+00:00,295.32,295.35,288.7,292.01,5772800
2019-11-13 05:00:00+00:00,291.03,293.41,281.14,283.11,9158900
2019-11-14 05:00:00+00:00,283.25,290.63,283.22,289.62,6529000
2019-11-15 05:00:00+00:00,290.59,295.82,287.57,295.03,6333800
2019-11-18 05:00:00+00:00,296.0,304.99,293.28,302.57,8616600
2019-11-19 05:00:00+00:00,304.01,305.67,298.52,302.6,5918000
2019-11-20 05:00:00+00:00,301.01,308.25,301.0,305.16,5111800
2019-11-21 05:00:00+00:00,306.0,312.69,304.26,311.69,7488400
2019-11-22 05:00:00+00:00,309.1,311.4,304.41,310.48,5970100
2019-11-25 05:00:00+00:00,308.83,315.73,305.25,315.55,7873900
2019-11-26 05:00:00+00:00,315.0,316.5,311.69,312.49,5321000
2019-11-27 05:00:00+00:00,313.93,316.82,312.75,315.93,4096900
2019-11-29 05:00:00+00:00,315.78,316.62,313.34,314.66,2411700
2019-12-02 05:00:00+00:00,314.39,314.39,303.75,309.99,6218800
2019-12-03 05:00:00+00:00,302.22,307.36,301.88,306.16,4992800
2019-12-04 05:00:00+00:00,308.43,308.43,303.27,304.32,3512100
2019-12-05 05:00:00+00:00,305.27,306.48,298.81,302.86,4615500
2019-12-06 05:00:00+00:00,304.7,307.85,302.6,307.35,4457800
2019-12-09 05:00:00+00:00,307.35,311.49,302.44,302.5,5748400
2019-12-10 05:00:00+00:00,296.12,298.94,292.02,293.12,10476100
2019-12-11 05:00:00+00:00,294.49,299.43,294.2,298.93,5589800
2019-12-12 05:00:00+00:00,295.67,299.17,295.06,298.44,4766600
2019-12-13 05:00:00+00:00,298.5,301.8,297.25,298.5,3879700
2019-12-16 05:00:00+00:00,300.85,305.71,298.63,304.21,4658900
2019-12-17 05:00:00+00:00,307.36,316.8,306.6,315.48,10427100
2019-12-18 05:00:00+00:00,316.26,325.36,315.6,320.8,11207400
2019-12-19 05:00:00+00:00,324.5,332.83,324.18,332.22,9822300
2019-12-20 05:00:00+00:00,335.0,338.0,330.6,336.9,9914900
2019-12-23 05:00:00+00:00,337.76,337.95,331.02,333.1,5765300
2019-12-24 05:00:00+00:00,334.01,335.7,331.6,333.2,2019300
2019-12-26 05:00:00+00:00,334.6,336.46,332.01,332.63,3589900
2019-12-27 05:00:00+00:00,332.96,333.82,326.01,329.09,5036100
