Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-01-02,185.2257618242656,186.50250680575422,181.99928581163158,183.73129272460938,183.73129272460938,82488700,AAPL
2024-01-03,182.32590048043423,183.96883642924203,181.5440145919006,182.3555908203125,182.3555908203125,58414500,AAPL
2024-01-04,180.2771650380176,181.20750256721809,179.02023379077144,180.03964233398438,180.03964233398438,71983600,AAPL
2024-01-05,180.11885376441708,180.88092604513352,178.31755906038765,179.31716918945312,179.31716918945312,62379700,AAPL
2024-01-08,180.21780632812883,183.6917273170526,179.63387614033877,183.65213012695312,183.65213012695312,59144500,AAPL
2024-01-09,182.0289774717032,183.24632668227045,180.8512103460259,183.23643493652344,183.23643493652344,42841800,AAPL
2024-01-10,182.45457200324566,184.48348240733844,182.02898528742006,184.27565002441406,184.27565002441406,46792900,AAPL
2024-01-11,184.6220377994394,185.12680377786887,181.73206228896322,183.6818084716797,183.6818084716797,49128400,AAPL
2024-01-12,184.14698280822722,184.8199990991005,183.28593272766105,184.0084228515625,184.0084228515625,40477800,AAPL
2024-01-16,180.28710192352952,182.3655014396163,179.06973745492456,181.7419891357422,181.7419891357422,65603000,AAPL
2024-01-17,179.40625114511818,181.04917214343425,178.44622312883942,180.80174255371094,180.80174255371094,47317400,AAPL
2024-01-18,184.17668914088887,187.1953332109462,183.9193677995691,186.69058227539062,186.69058227539062,78005800,AAPL
2024-01-19,187.38337121910467,189.97642838325277,186.8786203129096,189.59043884277344,189.59043884277344,68903000,AAPL
2024-01-22,190.32283587135973,193.32168117146784,190.2832386815117,191.896484375,191.896484375,60133900,AAPL
2024-01-23,193.01485907067706,193.7373491711095,191.83709192633378,193.17320251464844,193.17320251464844,42355600,AAPL
2024-01-24,193.41075266703035,194.36088890095834,192.34185506707502,192.50021362304688,192.50021362304688,53631300,AAPL
2024-01-25,193.21282181305796,194.2520291241628,191.1245154438125,192.17361450195312,192.17361450195312,54822100,AAPL
2024-01-26,192.2725896171282,192.75754194727924,189.9665440310004,190.4416046142578,190.4416046142578,44594000,AAPL
2024-01-29,190.03581744325376,190.22386634852867,187.63080907007364,189.75869750976562,189.75869750976562,47145600,AAPL
2024-01-30,188.97683613469175,189.82799457367844,185.54251203451676,186.1066436767578,186.1066436767578,55859400,AAPL
2024-01-31,185.11688373962707,185.1762795166647,182.45455449229945,182.5040283203125,182.5040283203125,55467800,AAPL
2024-02-01,182.0982797244824,185.02783750412453,181.93002942176474,184.9387664794922,184.9387664794922,64885400,AAPL
2024-02-02,178.01071526218476,185.40391139136472,177.4069865588012,183.9391326904297,183.9391326904297,102551700,AAPL
2024-02-05,186.21548923655902,187.30418539055444,183.9292424150712,185.7503204345703,185.7503204345703,69668800,AAPL
2024-02-06,184.93876832266957,187.36357521832525,184.8496972971495,187.3536834716797,187.3536834716797,43490800,AAPL
2024-02-07,188.67988890685803,189.08567701882757,186.6707620426896,187.46253967285156,187.46253967285156,53439000,AAPL
2024-02-08,187.44274927884152,187.59120098390878,185.42373058041275,186.38375854492188,186.38375854492188,40962000,AAPL
2024-02-09,186.9486117161699,188.27653811843788,186.30447993507684,187.14682006835938,187.14682006835938,45155200,AAPL
2024-02-12,186.72067805809255,186.96842336096995,185.1053738445565,185.46212768554688,185.46212768554688,41781900,AAPL
2024-02-13,184.094566630165,184.53060074172208,181.85493962465304,183.3711395263672,183.3711395263672,56529500,AAPL
2024-02-14,183.64864282656313,183.85674041023526,180.79461213824646,182.4891815185547,182.4891815185547,54630500,AAPL
2024-02-15,181.8946109768474,182.82613576875198,179.71445525689393,182.20181274414062,182.20181274414062,65434500,AAPL
2024-02-16,181.76577652013776,183.18288755084293,180.03155935687485,180.66578674316406,180.66578674316406,49752500,AAPL
2024-02-20,180.15048310961222,180.78471053407532,178.3766332434525,179.9225616455078,179.9225616455078,53665600,AAPL
2024-02-21,180.2991272502037,181.24055639365764,179.03067248659073,180.6757049560547,180.6757049560547,41371400,AAPL
2024-02-22,181.82524161821627,183.29190480468338,180.81445159653885,182.70721435546875,182.70721435546875,52292200,AAPL
2024-02-23,183.34141952676862,183.37114775196545,180.58649310326592,180.87388610839844,180.87388610839844,45119700,AAPL
2024-02-26,180.59641504961763,181.11171437415507,179.0207434868858,179.52615356445312,179.52615356445312,40867400,AAPL
2024-02-27,179.46671005654383,182.26126931281985,177.94059046680667,180.98291015625,180.98291015625,54318900,AAPL
2024-02-28,180.86399474191828,181.4684939502017,178.50546948959806,179.78382873535156,179.78382873535156,48953900,AAPL
2024-02-29,179.63517226295397,180.92345088953732,177.9108594746495,179.11985778808594,179.11985778808594,136682600,AAPL
2024-03-01,177.93067957222544,178.90183692569335,175.78025215753124,178.03968811035156,178.03968811035156,73563100,AAPL
2024-03-04,174.56134649455421,175.30458245485661,172.2226300679557,173.5208282470703,173.5208282470703,81510100,AAPL
2024-03-05,169.21992063394748,170.48837518309247,168.09020282857864,168.585693359375,168.585693359375,95132400,AAPL
2024-03-06,169.5172632726602,169.69564777442116,167.1587228770791,167.59475708007812,167.59475708007812,68587700,AAPL
2024-03-07,167.62447121611535,169.1902233947002,166.97043508778398,167.475830078125,167.475830078125,71765100,AAPL
2024-03-08,167.4758228221548,172.13343143853632,167.41636636953461,169.19021606445312,169.19021606445312,76267000,AAPL
2024-03-11,171.38030546468005,172.80732093128213,170.49833272784605,171.1920166015625,171.1920166015625,60139500,AAPL
2024-03-12,171.58839851794536,172.4604668624585,169.4676992338398,171.6676788330078,171.6676788330078,59825400,AAPL
2024-03-13,171.21181736641944,171.6280276345068,169.21993557914925,169.58660888671875,169.58660888671875,52488700,AAPL
2024-03-14,171.35055836544484,172.73792596009017,170.49831395125625,171.4397430419922,171.4397430419922,72913500,AAPL
2024-03-15,169.6262667891251,171.0631866455078,168.75419840900892,171.0631866455078,171.0631866455078,121752700,AAPL
2024-03-18,173.98659600973463,176.1072954101753,171.95508129819135,172.1532745361328,172.1532745361328,75604200,AAPL
2024-03-19,172.76766112194616,175.01719271038215,171.46947815172825,174.49197387695312,174.49197387695312,55215200,AAPL
2024-03-20,174.1352174960067,177.05860900878906,173.51089450186836,177.05860900878906,177.05860900878906,53423100,AAPL
2024-03-21,175.4532130863986,175.88924720546055,169.2992135808601,169.82443237304688,169.82443237304688,106181300,AAPL
2024-03-22,170.21092760104455,171.48930183291895,168.52626256417108,170.7262420654297,170.7262420654297,71160100,AAPL
2024-03-25,169.03166954174233,170.3893089389317,167.92176032191367,169.30914306640625,169.30914306640625,54288300,AAPL
2024-03-26,168.4668365684045,169.87402832990531,168.0506261984825,168.17945861816406,168.17945861816406,57388400,AAPL
2024-03-27,168.87310882923745,172.0343412561863,168.575811446925,171.7469482421875,171.7469482421875,60273300,AAPL
2024-03-28,170.20102558587905,170.67669234048742,168.97220342186947,169.93345642089844,169.93345642089844,65672700,AAPL
2024-04-01,169.6460781034487,169.70553455748254,167.9514935576168,168.4965362548828,168.4965362548828,46240500,AAPL
2024-04-02,167.55510167176752,167.81275133793278,166.71276161053132,167.3172607421875,167.3172607421875,49329500,AAPL
2024-04-03,167.2677201117247,169.14067408704202,167.05962251511946,168.11996459960938,168.11996459960938,47691700,AAPL
2024-04-04,168.7541832986243,170.3694875068381,167.29745483398438,167.29745483398438,167.29745483398438,53704400,AAPL
2024-04-05,168.06050251317026,168.85329051832247,167.42627513328318,168.05059814453125,168.05059814453125,42104800,AAPL
2024-04-08,167.50555706407098,167.67402205960258,166.72268854116854,166.9307861328125,166.9307861328125,37425500,AAPL
2024-04-09,167.17853275073267,168.5460917055098,166.83169838821917,168.13978576660156,168.13978576660156,42373800,AAPL
2024-04-10,167.27763553824258,167.5650134431552,165.60287483124418,166.26683044433594,166.26683044433594,49709300,AAPL
2024-04-11,166.82180755716914,173.87760550528196,166.64343816086352,173.4613800048828,173.4613800048828,91070300,AAPL
2024-04-12,172.68839280877705,176.7514221146486,172.63885584160187,174.95774841308594,174.95774841308594,101670900,AAPL
2024-04-15,173.77847120218846,175.0370216134587,170.94426424521788,171.13255310058594,171.13255310058594,73531800,AAPL
2024-04-16,170.20103782824683,172.1929047923956,166.75242714722782,167.8524169921875,167.8524169921875,73711200,AAPL
2024-04-17,168.08031301583728,169.1109267558204,166.48483276367188,166.48483276367188,166.48483276367188,50901200,AAPL
2024-04-18,166.51456987389489,167.11906901091456,165.0479219314042,165.5334930419922,165.5334930419922,43122900,AAPL
2024-04-19,164.7109957890585,164.89926951971245,162.6002009445124,163.51190185546875,163.51190185546875,68149400,AAPL
2024-04-22,164.0272084619306,165.75150603037284,163.28397258003716,164.3443145751953,164.3443145751953,48116400,AAPL
2024-04-23,163.8587664496344,165.54343166054898,163.4326366212621,165.394775390625,165.394775390625,49537800,AAPL
2024-04-24,165.03800691456527,167.77312477902248,164.71099641624178,167.4956512451172,167.4956512451172,48251800,AAPL
2024-04-25,168.00106471763377,169.07132637527934,166.63350563489078,168.35781860351562,168.35781860351562,50558300,AAPL
2024-04-26,168.34790327634968,169.79472746518425,167.65420428921547,167.77313232421875,167.77313232421875,44838400,AAPL
2024-04-29,171.80640930182136,174.44242297655094,171.53885525962073,171.93524169921875,171.93524169921875,68169400,AAPL
